ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
23,0,Bangladesh,0,91.8542,24.6497,8910.3,1985-06-03,1985-06-22,News,7,100000,Heavy rain,2.0
29,0,Bangladesh,0,89.9853,22.6176,6446.85,1985-07-03,1985-07-04,News,2,77000,Heavy rain,1.0
36,0,Bangladesh,0,90.1999,23.1028,5663.46,1985-07-21,1985-08-17,News,15,175000,Heavy rain,1.0
56,0,Bangladesh,0,89.6457,24.7027,6466.71,1985-09-27,1985-09-28,News,0,800,Heavy Rain,1.0
316,0,Bangladesh,0,90.9326,23.5967,33665.94,1989-07-03,1989-07-05,News,2,20000,Monsoonal rain,1.0
332,0,Bangladesh,0,91.6662,24.5345,4688.38,1989-07-06,1989-07-23,News,1,0,Heavy rain,1.0
345,0,Bangladesh,0,91.5698,24.6208,9525.39,1989-08-01,1989-08-07,News,200,600000,Monsoonal rain,1.0
399,0,Bangladesh,0,92.1361,21.3073,3190.59,1990-03-03,1990-03-05,News,0,1200,Heavy rain,1.0
402,0,Bangladesh,0,90.9914,23.5125,41632.68,1990-03-24,1990-03-30,News,50,10000,Heavy rain,1.0
407,0,Bangladesh,0,90.3022,25.0516,65938.84,1990-04-22,1990-04-25,News,54,40000,Heavy rain,1.0
436,0,Bangladesh,0,89.3604,23.9413,23608.31,1990-07-14,1990-09-06,News,64,392077,Heavy rain,1.0
453,0,Bangladesh,0,90.4685,22.6284,14537.61,1990-08-25,1990-08-27,News,0,50000,Monsoonal rain,1.0
464,0,Bangladesh,0,89.9062,24.1354,33263.26,1990-09-26,1990-09-30,News,14,300000,Heavy rain,1.0
469,0,Bangladesh,0,89.9598,24.4682,41676.27,1990-10-10,1990-10-13,News,9,700000,Torrential rain,1.0
471,0,Bangladesh,0,90.5909,24.2158,5868.16,1990-10-14,1990-10-17,News,0,30000,Heavy rain,1.0
475,0,Bangladesh,0,90.7018,22.5748,1043.35,1990-10-26,1990-10-29,News,0,4500,Torrential rain,1.0
505,0,Bangladesh,0,91.5924,24.9405,1787.55,1991-04-08,1991-04-09,News,0,0,Torrential rain,1.0
507,0,Bangladesh,0,92.1857,22.2146,21359.24,1991-04-29,1991-05-10,News,138000,10000000,Tropical cyclone,1.0
511,0,Bangladesh,0,91.5273,24.6228,17480.05,1991-05-14,1991-05-31,News,100,1000000,Heavy rain,1.0
525,0,Bangladesh,0,91.3972,22.9459,30042.91,1991-06-17,1991-06-27,News,0,160000,Monsoonal rain,1.0
531,0,Bangladesh,0,89.3374,24.0753,4038.82,1991-07-04,1991-07-06,News,0,40000,Heavy rain,1.0
537,0,Bangladesh,0,89.6246,23.8915,20388.52,1991-07-10,1991-07-15,News,4,70000,Heavy rain,1.0
541,0,Bangladesh,0,90.0572,24.1787,55046.84,1991-07-14,1991-07-16,News,17,300000,Heavy rain,1.0
556,0,Bangladesh,0,91.9906,21.9581,13828.87,1991-08-02,1991-08-07,News,6,50000,Heavy rain,1.0
563,0,Bangladesh,0,90.2027,24.6649,7441.14,1991-08-09,1991-08-20,News,800,0,Heavy rain,1.0
583,0,Bangladesh,0,90.2142,25.1817,63025.31,1991-09-11,1991-09-17,News,112,1000000,Monsoonal rain,1.0
590,0,Bangladesh,0,89.5171,24.6724,2443.02,1991-09-28,1991-09-29,News,0,50000,"Dam/Levy, break or release",1.0
659,0,Bangladesh,0,92.2224,22.0692,21634.98,1992-06-25,1992-06-25,News,2,50000,Monsoonal rain,1.0
830,0,Bangladesh,0,92.0345,22.4749,6727.37,1994-02-26,1994-03-02,News,13,0,Heavy rain,1.0
839,0,Bangladesh,0,89.816,23.9528,2275.44,1994-03-29,1994-04-02,News,16,100000,Heavy rain,1.0
842,0,Bangladesh,0,92.0895,22.5171,22176.39,1994-04-19,1994-04-23,News,20,12000,Tropical cyclone,1.0
849,0,Bangladesh,0,91.803,24.6457,11309.84,1994-06-01,1994-06-06,News,6,11000,Monsoonal rain,1.0
852,0,Bangladesh,0,92.071,21.8758,6360.08,1994-06-14,1994-06-22,News,1,0,Monsoonal rain,1.0
953,0,Bangladesh,0,90.0958,22.9967,61217.96,1995-05-17,1995-05-24,News,41,351000,Heavy rain,1.0
961,0,Bangladesh,0,90.2429,25.1211,68353.34,1995-06-16,1995-06-23,News,105,2000000,Monsoonal rain,1.0
972,0,Bangladesh,0,88.9998,25.7626,15621.62,1995-07-04,1995-07-22,News,250,15000000,Monsoonal rain,1.0
982,0,Bangladesh,0,89.9406,24.8678,42133.44,1995-08-16,1995-08-23,News,26,1000000,Monsoonal rain,1.0
1012,0,Bangladesh,0,90.2429,25.1334,61580.93,1995-09-29,1995-10-16,News,400,5300000,Monsoonal rain,1.0
1032,0,Bangladesh,0,90.3001,22.4166,20679.76,1995-11-10,1995-11-13,News,45,0,Tropical cyclone,1.0
1082,0,Bangladesh,0,90.1016,25.2408,59266.77,1996-06-27,1996-07-09,News,6,72000,Monsoonal rain,1.0
1094,0,Bangladesh,0,89.9688,23.0267,69103.34,1996-07-19,1996-08-02,News,50,2300000,Monsoonal rain,1.0
1105,0,Bangladesh,0,90.2861,25.3736,26913.05,1996-08-26,1996-09-07,News,20,100000,Heavy Rain,1.0
1142,0,Bangladesh,0,92.1256,22.4865,28272.06,1997-03-19,1997-03-24,News,25,5000,Heavy rain,1.0
1155,0,Bangladesh,0,92.071,21.7744,10108.25,1997-06-14,1997-06-20,News,0,4000,Heavy rain,1.0
1162,0,Bangladesh,0,91.9783,22.3517,9613.73,1997-07-03,1997-07-15,News,100,200000,Heavy rain,1.0
1165,0,Bangladesh,0,91.961,22.0189,10101.18,1997-07-29,1997-08-04,News,15,30000,Heavy rain,1.0
1363,0,Bangladesh,0,90.0268,23.4505,34065.64,1998-05-20,1998-05-30,News,0,0,Tropical cyclone,1.0
1384,0,Bangladesh,India,93.1722,26.7913,136001.75,1998-06-09,1998-06-12,News,77,2000,Monsoonal rain,1.0
1527,0,Bangladesh,India,89.6291,25.5968,132357.54,1999-07-11,1999-08-03,News,356,33100003,Monsoonal rain,1.0
1540,0,Bangladesh,India,90.5917,23.9425,66372.4,1999-08-11,1999-08-15,News,18,50000,Heavy rain,1.0
1603,0,Bangladesh,0,91.7119,23.5072,40362.73,2000-05-27,2000-06-19,News,36,10000,Monsoonal rain,1.0
1611,0,Bangladesh,0,89.7361,25.5567,33982.24,2000-06-19,2000-06-26,News,14,20000,Monsoonal rain,1.0
1766,0,Bangladesh,India,89.5736,25.9309,190726.68,2001-07-31,2001-09-01,News,36,2750000,Monsoonal rain,1.0
1908,0,Bangladesh,0,91.52,24.9818,4848.3,2002-04-18,2002-04-29,News,0,0,"Dam/Levy, break or release",1.0
1930,0,Bangladesh,0,91.7747,24.4963,4349.44,2002-05-23,2002-05-31,News,0,0,Heavy rain,1.0
1960,0,Bangladesh,0,90.9923,25.2225,18368.62,2002-06-18,2002-06-24,News,4,20000,Monsoonal rain,1.0
2248,0,Bangladesh,India,90.8538,26.1706,702361.66,2003-06-11,2003-10-10,News,600,9500000,Monsoonal rain,2.0
2257,0,Bangladesh,0,91.9327,21.9239,4231.0,2003-06-19,2003-07-03,News,55,20000,Monsoonal rain,1.0
2473,0,Bangladesh,India,91.6947,24.8942,29066.34,2004-04-14,2004-05-03,News,12,50000,Heavy rain,1.0
2657,0,Bangladesh,0,91.6424,24.598,12730.18,2005-05-25,2005-05-28,News,13,50000,Heavy rain,1.0
2676,0,Bangladesh,0,89.1145,25.9614,15321.96,2005-06-23,2005-06-30,News,5,70000,Monsoonal rain,1.0
2747,0,Bangladesh,0,88.977,25.6406,22573.98,2005-10-03,2005-10-22,News,19,100000,Heavy rain,1.0
2961,FL-2006-000131-BGD,Bangladesh,0,89.2727,23.2295,28078.51,2006-08-24,2006-09-20,News,0,0,Monsoonal rain,1.0
3097,LS-2007-000080-BGD,Bangladesh,,91.9535,22.3975,77805.48,2007-06-11,2007-06-24,News,126,80000,Monsoonal rain,1.0
3136,0,Bangladesh,,91.2336,23.9164,150899.96,2007-07-21,2007-10-15,News,1071,5000000,Monsoonal rain,1.0
3226,TC-2007-000208-BGD,Bangladesh,0,90.1508,22.6104,31641.92,2007-11-15,2007-12-01,News,3447,3000000,Tropical cyclone,1.0
3322,FL-2008-000096-BGD,Bangladesh,0,90.1165,25.2159,57410.55,2008-06-20,2008-06-22,News,0,15000,"Levee failure, early monsoonal rain",1.0
3371,0,Bangladesh,0,90.21,25.0288,59248.82,2008-08-30,2008-09-08,News,0,600000,Monsoon Rains,1.5
3485,,Bangladesh,0,89.0861,22.164,27819.11,2009-04-20,2009-05-15,News,21,15000,Heavy Rain,1.5
3495,FL-2009-000123-BGD,Bangladesh,0,89.0861,25.2562,49031.89,2009-07-03,2009-07-06,News,20,700000,Torrential Rain,1.0
3633,FL-2010-000070-BGD,Bangladesh,0,89.5099,22.1528,7062.71,2010-03-27,2010-04-07,0,104,0,Heavy Rain,1.0
3679,0,Bangladesh,0,90.0355,23.9949,24987.26,2010-07-01,2010-07-13,0,0,600000,Monsoonal Rain,1.0
3716,0,Bangladesh,0,89.64,25.425,7364.9,2010-09-09,2010-09-30,News,0,140000,Monsoon Rains,1.5
